time , queue density , dynamic density
1,0.0424906,0.998759
6,0.0488844,0.0925125
11,0.063,0.137531
16,0.0668281,0.09585
21,0.0687625,0.107444
26,0.07345,0.0914937
31,0.0766094,0.0854313
36,0.0768656,0.0855375
41,0.0761156,0.0848406
46,0.0744875,0.0947687
51,0.0753937,0.0760062
56,0.0872813,0.0830281
61,0.0945219,0.0894625
66,0.092925,0.0817344
71,0.0865563,0.0800375
76,0.0838469,0.0530969
81,0.0850812,0.0447219
86,0.0956906,0.0644813
91,0.1101,0.105884
96,0.110516,0.151031
101,0.115619,0.138784
106,0.114231,0.126891
111,0.118253,0.122409
116,0.129919,0.130028
121,0.131847,0.137141
126,0.135103,0.129794
131,0.135806,0.130397
136,0.136756,0.124556
141,0.135769,0.113769
146,0.135881,0.114241
151,0.13585,0.0954344
156,0.133441,0.0816531
161,0.131263,0.0728656
166,0.129306,0.0617687
171,0.123037,0.0669719
176,0.121703,0.0540938
181,0.121213,0.0457469
186,0.120931,0.0422
191,0.120531,0.0341719
196,0.118909,0.0355156
201,0.120147,0.0203625
206,0.120938,0.0134813
211,0.122253,0.0117562
216,0.121369,0.0115063
221,0.119106,0.0247219
226,0.118922,0.011275
231,0.1196,0.00918125
236,0.121716,0.00923125
241,0.119322,0.00770938
246,0.116103,0.0185312
251,0.117419,0.0102688
256,0.117794,0.00682187
261,0.118303,0.00679375
266,0.117688,0.00708125
271,0.116878,0.0123812
276,0.117544,0.00770938
281,0.12995,0.0211812
286,0.138922,0.0395937
291,0.139356,0.0480563
296,0.135434,0.0512094
301,0.130619,0.0432844
306,0.125281,0.0391906
311,0.123984,0.0350281
316,0.124753,0.0265875
321,0.117731,0.0299156
326,0.116231,0.0197063
331,0.116766,0.0138969
336,0.116753,0.00794062
341,0.118313,0.00779062
346,0.119847,0.0247406
351,0.119697,0.0264937
356,0.119391,0.0249906
361,0.119612,0.022925
366,0.120087,0.0244406
371,0.119106,0.0284156
376,0.120247,0.0240344
381,0.1202,0.0211125
386,0.124262,0.026725
391,0.126691,0.0384781
396,0.130122,0.0526875
401,0.133122,0.0540313
406,0.143753,0.0667219
411,0.161991,0.0927937
416,0.181962,0.122209
421,0.186678,0.163894
426,0.205694,0.169
431,0.225522,0.178338
436,0.2337,0.183287
441,0.234981,0.178881
446,0.226075,0.201322
451,0.232669,0.182009
456,0.237603,0.161206
461,0.240509,0.159188
466,0.244309,0.145741
471,0.243684,0.141853
476,0.246194,0.121816
481,0.250119,0.101691
486,0.252584,0.0947656
491,0.254894,0.0877125
496,0.253994,0.0852
501,0.259316,0.0719625
506,0.273647,0.0744906
511,0.285697,0.0698531
516,0.292938,0.0835844
521,0.307381,0.126963
526,0.320931,0.110056
531,0.3249,0.107966
536,0.326578,0.0899156
541,0.328813,0.0816812
546,0.326069,0.104094
551,0.32475,0.0835687
556,0.323206,0.0640219
561,0.319809,0.0598187
566,0.316734,0.0925969
571,0.315181,0.107037
576,0.323875,0.0877375
581,0.333587,0.0605906
586,0.340322,0.0494938
591,0.348112,0.0453187
596,0.351597,0.0860094
601,0.36195,0.0648688
606,0.36965,0.0534156
611,0.380625,0.0598313
616,0.389663,0.0606
621,0.398016,0.0894781
626,0.405781,0.0678531
631,0.413994,0.0513094
636,0.418888,0.050275
641,0.421616,0.0477406
646,0.422694,0.0686125
651,0.42955,0.0515625
656,0.434397,0.0458219
661,0.436297,0.0465781
666,0.439362,0.0472313
671,0.440044,0.06615
676,0.441972,0.0542531
681,0.444278,0.0481437
686,0.445328,0.048225
691,0.445272,0.0416062
696,0.441719,0.0513781
701,0.443806,0.0421062
706,0.444119,0.0348406
711,0.444925,0.0338375
716,0.445681,0.0357625
721,0.434584,0.0473688
726,0.437106,0.0296094
731,0.436409,0.0225875
736,0.435494,0.0169906
741,0.434516,0.0137094
746,0.430753,0.0277531
751,0.431631,0.0154156
756,0.431722,0.00812188
